run_id,origin_date,horizon_days,target_date,p10,p50,p90,ensemble_p10,ensemble_p90,ensemble_n,model_id
2026-09-21-mazar-1-1c43d784,2026-09-21,14,2026-10-05,2123.11,2130.95,2134.25,2125.64,2144.9,16,
2026-09-21-mazar-1-1c43d784,2026-09-21,30,2026-10-21,2120.44,2133.28,2137.96,2119.08,2146.98,15,
2026-09-21-mazar-1-1c43d784,2026-09-21,60,2026-11-20,2109.39,2127.54,2132.77,2115.45,2150.17,15,
2026-09-21-mazar-1-1c43d784,2026-09-21,7,2026-09-28,2130.9,2135.2,2137.55,2131.8,2144.64,16,
2026-09-21-mazar-1-1c43d784,2026-09-21,90,2026-12-20,2106.39,2126.47,2132.85,2116.61,2152.56,14,
2026-09-21-mazar-2-3eaa4e38,2026-09-21,14,2026-10-05,2123.11,2130.95,2134.25,2125.64,2144.9,16,M3-water-balance
2026-09-21-mazar-2-3eaa4e38,2026-09-21,30,2026-10-21,2120.44,2133.28,2137.96,2119.08,2146.98,15,M3-water-balance
2026-09-21-mazar-2-3eaa4e38,2026-09-21,60,2026-11-20,2109.39,2127.54,2132.77,2115.45,2150.17,15,M3-water-balance
2026-09-21-mazar-2-3eaa4e38,2026-09-21,7,2026-09-28,2131.86,2135.31,2137.99,2131.8,2144.64,16,M4-gbm-m3-residual
2026-09-21-mazar-2-3eaa4e38,2026-09-21,90,2026-12-20,2106.39,2126.47,2132.85,2116.61,2152.56,14,M3-water-balance
2026-09-21-mazar-2-cc730831,2026-09-21,14,2026-10-05,2123.11,2130.95,2134.25,2125.64,2144.9,16,M3-water-balance
2026-09-21-mazar-2-cc730831,2026-09-21,30,2026-10-21,2120.44,2133.28,2137.96,2119.08,2146.98,15,M3-water-balance
2026-09-21-mazar-2-cc730831,2026-09-21,60,2026-11-20,2109.39,2127.54,2132.77,2115.45,2150.17,15,M3-water-balance
2026-09-21-mazar-2-cc730831,2026-09-21,7,2026-09-28,2131.86,2135.31,2137.99,2131.8,2144.64,16,M4-gbm-m3-residual
2026-09-21-mazar-2-cc730831,2026-09-21,90,2026-12-20,2106.39,2126.47,2132.85,2116.61,2152.56,14,M3-water-balance
