date,site,variable,value,source,mrid,fetched_at,raw_ref
2014-01-01,mazar,caudal_m3s,26.040134,ords:pointValues,30538,2026-09-22T13:54:12Z,celec_ords/2014/01/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2014-01-01
2014-01-01,paute_cuenca,caudal_cuenca_m3s,113.935154,ords:csrCaudCuenAniosAvg,,2026-09-23T02:36:13Z,celec_ords/2027/01/csrCaudCuenAniosAvg.ndjson.gz#csrCaudCuenAniosAvg:2010-01-01:2027-01-01
2014-01-02,mazar,caudal_m3s,31.211859,ords:pointValues,30538,2026-09-22T13:54:12Z,celec_ords/2014/01/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2014-01-01
2014-01-03,mazar,caudal_m3s,22.793921,ords:pointValues,30538,2026-09-22T13:54:12Z,celec_ords/2014/01/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2014-01-01
2014-01-04,mazar,caudal_m3s,11.789362,ords:pointValues,30538,2026-09-22T13:54:12Z,celec_ords/2014/01/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2014-01-01
2014-01-05,mazar,caudal_m3s,113.355911,ords:pointValues,30538,2026-09-22T13:54:12Z,celec_ords/2014/01/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2014-01-01
2014-01-06,mazar,caudal_m3s,84.393238,ords:pointValues,30538,2026-09-22T13:54:12Z,celec_ords/2014/01/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2014-01-01
2014-01-07,mazar,caudal_m3s,41.285585,ords:pointValues,30538,2026-09-22T13:54:12Z,celec_ords/2014/01/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2014-01-01
2014-01-08,mazar,caudal_m3s,95.629581,ords:pointValues,30538,2026-09-22T13:54:12Z,celec_ords/2014/01/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2014-01-01
2014-01-09,mazar,caudal_m3s,30.871478,ords:pointValues,30538,2026-09-22T13:54:12Z,celec_ords/2014/01/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2014-01-01
2014-01-10,mazar,caudal_m3s,42.287996,ords:pointValues,30538,2026-09-22T13:54:12Z,celec_ords/2014/01/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2014-01-01
2014-01-11,mazar,caudal_m3s,34.903289,ords:pointValues,30538,2026-09-22T13:54:12Z,celec_ords/2014/01/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2014-01-01
2014-01-12,mazar,caudal_m3s,71.997443,ords:pointValues,30538,2026-09-22T13:54:12Z,celec_ords/2014/01/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2014-01-01
2014-01-13,mazar,caudal_m3s,32.264677,ords:pointValues,30538,2026-09-22T13:54:12Z,celec_ords/2014/01/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2014-01-01
2014-01-14,mazar,caudal_m3s,43.937463,ords:pointValues,30538,2026-09-22T13:54:12Z,celec_ords/2014/01/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2014-01-01
2014-01-15,mazar,caudal_m3s,31.97649,ords:pointValues,30538,2026-09-22T13:54:12Z,celec_ords/2014/01/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2014-01-01
2014-01-16,mazar,caudal_m3s,28.084585,ords:pointValues,30538,2026-09-22T13:54:12Z,celec_ords/2014/01/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2014-01-01
2014-01-17,mazar,caudal_m3s,47.380043,ords:pointValues,30538,2026-09-22T13:54:12Z,celec_ords/2014/01/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2014-01-01
2014-01-18,mazar,caudal_m3s,51.435373,ords:pointValues,30538,2026-09-22T13:54:12Z,celec_ords/2014/01/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2014-01-01
2014-01-19,mazar,caudal_m3s,28.837456,ords:pointValues,30538,2026-09-22T13:54:12Z,celec_ords/2014/01/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2014-01-01
2014-01-20,mazar,caudal_m3s,57.929863,ords:pointValues,30538,2026-09-22T13:54:12Z,celec_ords/2014/01/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2014-01-01
2014-01-21,mazar,caudal_m3s,17.769466,ords:pointValues,30538,2026-09-22T13:54:12Z,celec_ords/2014/01/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2014-01-01
2014-01-22,mazar,caudal_m3s,34.070056,ords:pointValues,30538,2026-09-22T13:54:12Z,celec_ords/2014/01/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2014-01-01
2014-01-23,mazar,caudal_m3s,33.131695,ords:pointValues,30538,2026-09-22T13:54:12Z,celec_ords/2014/01/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2014-01-01
2014-01-24,mazar,caudal_m3s,28.354405,ords:pointValues,30538,2026-09-22T13:54:12Z,celec_ords/2014/01/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2014-01-01
2014-01-25,mazar,caudal_m3s,23.270478,ords:pointValues,30538,2026-09-22T13:54:12Z,celec_ords/2014/01/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2014-01-01
2014-01-26,mazar,caudal_m3s,36.41717,ords:pointValues,30538,2026-09-22T13:54:12Z,celec_ords/2014/01/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2014-01-01
2014-01-27,mazar,caudal_m3s,28.706667,ords:pointValues,30538,2026-09-22T13:54:12Z,celec_ords/2014/01/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2014-01-01
2014-01-28,mazar,caudal_m3s,21.52893,ords:pointValues,30538,2026-09-22T13:54:12Z,celec_ords/2014/01/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2014-01-01
2014-01-29,mazar,caudal_m3s,19.512123,ords:pointValues,30538,2026-09-22T13:54:12Z,celec_ords/2014/01/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2014-01-01
2014-01-30,mazar,caudal_m3s,21.658231,ords:pointValues,30538,2026-09-22T13:54:12Z,celec_ords/2014/01/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2014-01-01
2014-01-31,mazar,caudal_m3s,18.6,ords:pointValues,30538,2026-09-22T13:54:12Z,celec_ords/2014/01/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2014-01-01
2014-02-01,mazar,caudal_m3s,30.08849,ords:pointValues,30538,2026-09-22T13:54:11Z,celec_ords/2014/02/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2014-02-01
2014-02-02,mazar,caudal_m3s,34.856467,ords:pointValues,30538,2026-09-22T13:54:11Z,celec_ords/2014/02/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2014-02-01
2014-02-03,mazar,caudal_m3s,13.437268,ords:pointValues,30538,2026-09-22T13:54:11Z,celec_ords/2014/02/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2014-02-01
2014-02-04,mazar,caudal_m3s,19.832486,ords:pointValues,30538,2026-09-22T13:54:11Z,celec_ords/2014/02/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2014-02-01
2014-02-05,mazar,caudal_m3s,20.018753,ords:pointValues,30538,2026-09-22T13:54:11Z,celec_ords/2014/02/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2014-02-01
2014-02-06,mazar,caudal_m3s,18.975538,ords:pointValues,30538,2026-09-22T13:54:11Z,celec_ords/2014/02/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2014-02-01
2014-02-07,mazar,caudal_m3s,24.766667,ords:pointValues,30538,2026-09-22T13:54:11Z,celec_ords/2014/02/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2014-02-01
2014-02-08,mazar,caudal_m3s,19.98,ords:pointValues,30538,2026-09-22T13:54:11Z,celec_ords/2014/02/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2014-02-01
2014-02-09,mazar,caudal_m3s,21.420513,ords:pointValues,30538,2026-09-22T13:54:11Z,celec_ords/2014/02/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2014-02-01
2014-02-10,mazar,caudal_m3s,18.945881,ords:pointValues,30538,2026-09-22T13:54:11Z,celec_ords/2014/02/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2014-02-01
2014-02-11,mazar,caudal_m3s,18.371992,ords:pointValues,30538,2026-09-22T13:54:11Z,celec_ords/2014/02/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2014-02-01
2014-02-12,mazar,caudal_m3s,16.946419,ords:pointValues,30538,2026-09-22T13:54:11Z,celec_ords/2014/02/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2014-02-01
2014-02-13,mazar,caudal_m3s,15.03706,ords:pointValues,30538,2026-09-22T13:54:11Z,celec_ords/2014/02/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2014-02-01
2014-02-14,mazar,caudal_m3s,17.667093,ords:pointValues,30538,2026-09-22T13:54:11Z,celec_ords/2014/02/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2014-02-01
2014-02-15,mazar,caudal_m3s,110.595871,ords:pointValues,30538,2026-09-22T13:54:11Z,celec_ords/2014/02/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2014-02-01
2014-02-16,mazar,caudal_m3s,25.94814,ords:pointValues,30538,2026-09-22T13:54:11Z,celec_ords/2014/02/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2014-02-01
2014-02-17,mazar,caudal_m3s,18.211546,ords:pointValues,30538,2026-09-22T13:54:11Z,celec_ords/2014/02/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2014-02-01
2014-02-18,mazar,caudal_m3s,17.99856,ords:pointValues,30538,2026-09-22T13:54:11Z,celec_ords/2014/02/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2014-02-01
2014-02-19,mazar,caudal_m3s,25.622783,ords:pointValues,30538,2026-09-22T13:54:11Z,celec_ords/2014/02/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2014-02-01
2014-02-20,mazar,caudal_m3s,33.847967,ords:pointValues,30538,2026-09-22T13:54:11Z,celec_ords/2014/02/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2014-02-01
2014-02-21,mazar,caudal_m3s,17.352158,ords:pointValues,30538,2026-09-22T13:54:11Z,celec_ords/2014/02/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2014-02-01
2014-02-22,mazar,caudal_m3s,41.134906,ords:pointValues,30538,2026-09-22T13:54:11Z,celec_ords/2014/02/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2014-02-01
2014-02-23,mazar,caudal_m3s,24.34559,ords:pointValues,30538,2026-09-22T13:54:11Z,celec_ords/2014/02/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2014-02-01
2014-02-24,mazar,caudal_m3s,20.198156,ords:pointValues,30538,2026-09-22T13:54:11Z,celec_ords/2014/02/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2014-02-01
2014-02-25,mazar,caudal_m3s,18.638232,ords:pointValues,30538,2026-09-22T13:54:11Z,celec_ords/2014/02/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2014-02-01
2014-02-26,mazar,caudal_m3s,17.810925,ords:pointValues,30538,2026-09-22T13:54:11Z,celec_ords/2014/02/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2014-02-01
2014-02-27,mazar,caudal_m3s,31.711974,ords:pointValues,30538,2026-09-22T13:54:11Z,celec_ords/2014/02/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2014-02-01
2014-02-28,mazar,caudal_m3s,58.380266,ords:pointValues,30538,2026-09-22T13:54:11Z,celec_ords/2014/02/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2014-02-01
2014-03-01,mazar,caudal_m3s,30.79169,ords:pointValues,30538,2026-09-22T13:54:10Z,celec_ords/2014/03/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2014-03-01
2014-03-02,mazar,caudal_m3s,51.995086,ords:pointValues,30538,2026-09-22T13:54:10Z,celec_ords/2014/03/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2014-03-01
2014-03-03,mazar,caudal_m3s,70.796319,ords:pointValues,30538,2026-09-22T13:54:10Z,celec_ords/2014/03/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2014-03-01
2014-03-04,mazar,caudal_m3s,52.122519,ords:pointValues,30538,2026-09-22T13:54:10Z,celec_ords/2014/03/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2014-03-01
2014-03-05,mazar,caudal_m3s,69.05502,ords:pointValues,30538,2026-09-22T13:54:10Z,celec_ords/2014/03/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2014-03-01
