date,basin,latitude,longitude,kind,precip_mm,temp_mean_c,issued_at,source,fetched_at,raw_ref
1996-01-01,paute,-2.6,-78.6,era5,3.2,11.8,,open_meteo:era5,2026-09-22T08:49:18Z,open_meteo/1996/01/era5.ndjson.gz#era5:paute:-2.6:-78.6:1996-01-01:1996-12-31
1996-01-02,paute,-2.6,-78.6,era5,2,11.6,,open_meteo:era5,2026-09-22T08:49:18Z,open_meteo/1996/01/era5.ndjson.gz#era5:paute:-2.6:-78.6:1996-01-01:1996-12-31
1996-01-03,paute,-2.6,-78.6,era5,3.9,11.7,,open_meteo:era5,2026-09-22T08:49:18Z,open_meteo/1996/01/era5.ndjson.gz#era5:paute:-2.6:-78.6:1996-01-01:1996-12-31
1996-01-04,paute,-2.6,-78.6,era5,2.7,11.4,,open_meteo:era5,2026-09-22T08:49:18Z,open_meteo/1996/01/era5.ndjson.gz#era5:paute:-2.6:-78.6:1996-01-01:1996-12-31
1996-01-05,paute,-2.6,-78.6,era5,2.4,11.6,,open_meteo:era5,2026-09-22T08:49:18Z,open_meteo/1996/01/era5.ndjson.gz#era5:paute:-2.6:-78.6:1996-01-01:1996-12-31
1996-01-06,paute,-2.6,-78.6,era5,2.2,11.2,,open_meteo:era5,2026-09-22T08:49:18Z,open_meteo/1996/01/era5.ndjson.gz#era5:paute:-2.6:-78.6:1996-01-01:1996-12-31
1996-01-07,paute,-2.6,-78.6,era5,3.5,10.9,,open_meteo:era5,2026-09-22T08:49:18Z,open_meteo/1996/01/era5.ndjson.gz#era5:paute:-2.6:-78.6:1996-01-01:1996-12-31
1996-01-08,paute,-2.6,-78.6,era5,2.5,12.2,,open_meteo:era5,2026-09-22T08:49:18Z,open_meteo/1996/01/era5.ndjson.gz#era5:paute:-2.6:-78.6:1996-01-01:1996-12-31
1996-01-09,paute,-2.6,-78.6,era5,1,11.6,,open_meteo:era5,2026-09-22T08:49:18Z,open_meteo/1996/01/era5.ndjson.gz#era5:paute:-2.6:-78.6:1996-01-01:1996-12-31
1996-01-10,paute,-2.6,-78.6,era5,2.5,11.4,,open_meteo:era5,2026-09-22T08:49:18Z,open_meteo/1996/01/era5.ndjson.gz#era5:paute:-2.6:-78.6:1996-01-01:1996-12-31
1996-01-11,paute,-2.6,-78.6,era5,2.6,11.2,,open_meteo:era5,2026-09-22T08:49:18Z,open_meteo/1996/01/era5.ndjson.gz#era5:paute:-2.6:-78.6:1996-01-01:1996-12-31
1996-01-12,paute,-2.6,-78.6,era5,9.4,12.7,,open_meteo:era5,2026-09-22T08:49:18Z,open_meteo/1996/01/era5.ndjson.gz#era5:paute:-2.6:-78.6:1996-01-01:1996-12-31
1996-01-13,paute,-2.6,-78.6,era5,30.1,11.1,,open_meteo:era5,2026-09-22T08:49:18Z,open_meteo/1996/01/era5.ndjson.gz#era5:paute:-2.6:-78.6:1996-01-01:1996-12-31
1996-01-14,paute,-2.6,-78.6,era5,12.3,11.4,,open_meteo:era5,2026-09-22T08:49:18Z,open_meteo/1996/01/era5.ndjson.gz#era5:paute:-2.6:-78.6:1996-01-01:1996-12-31
1996-01-15,paute,-2.6,-78.6,era5,5.2,11.1,,open_meteo:era5,2026-09-22T08:49:18Z,open_meteo/1996/01/era5.ndjson.gz#era5:paute:-2.6:-78.6:1996-01-01:1996-12-31
1996-01-16,paute,-2.6,-78.6,era5,5.8,12,,open_meteo:era5,2026-09-22T08:49:18Z,open_meteo/1996/01/era5.ndjson.gz#era5:paute:-2.6:-78.6:1996-01-01:1996-12-31
1996-01-17,paute,-2.6,-78.6,era5,7.1,12.3,,open_meteo:era5,2026-09-22T08:49:18Z,open_meteo/1996/01/era5.ndjson.gz#era5:paute:-2.6:-78.6:1996-01-01:1996-12-31
1996-01-18,paute,-2.6,-78.6,era5,2.2,12.2,,open_meteo:era5,2026-09-22T08:49:18Z,open_meteo/1996/01/era5.ndjson.gz#era5:paute:-2.6:-78.6:1996-01-01:1996-12-31
1996-01-19,paute,-2.6,-78.6,era5,6.8,11.5,,open_meteo:era5,2026-09-22T08:49:18Z,open_meteo/1996/01/era5.ndjson.gz#era5:paute:-2.6:-78.6:1996-01-01:1996-12-31
1996-01-20,paute,-2.6,-78.6,era5,14,12.2,,open_meteo:era5,2026-09-22T08:49:18Z,open_meteo/1996/01/era5.ndjson.gz#era5:paute:-2.6:-78.6:1996-01-01:1996-12-31
1996-01-21,paute,-2.6,-78.6,era5,24.5,11.5,,open_meteo:era5,2026-09-22T08:49:18Z,open_meteo/1996/01/era5.ndjson.gz#era5:paute:-2.6:-78.6:1996-01-01:1996-12-31
1996-01-22,paute,-2.6,-78.6,era5,12.7,10.9,,open_meteo:era5,2026-09-22T08:49:18Z,open_meteo/1996/01/era5.ndjson.gz#era5:paute:-2.6:-78.6:1996-01-01:1996-12-31
1996-01-23,paute,-2.6,-78.6,era5,16,11,,open_meteo:era5,2026-09-22T08:49:18Z,open_meteo/1996/01/era5.ndjson.gz#era5:paute:-2.6:-78.6:1996-01-01:1996-12-31
1996-01-24,paute,-2.6,-78.6,era5,29.6,11,,open_meteo:era5,2026-09-22T08:49:18Z,open_meteo/1996/01/era5.ndjson.gz#era5:paute:-2.6:-78.6:1996-01-01:1996-12-31
1996-01-25,paute,-2.6,-78.6,era5,9.7,11.4,,open_meteo:era5,2026-09-22T08:49:18Z,open_meteo/1996/01/era5.ndjson.gz#era5:paute:-2.6:-78.6:1996-01-01:1996-12-31
1996-01-26,paute,-2.6,-78.6,era5,5.2,11.1,,open_meteo:era5,2026-09-22T08:49:18Z,open_meteo/1996/01/era5.ndjson.gz#era5:paute:-2.6:-78.6:1996-01-01:1996-12-31
1996-01-27,paute,-2.6,-78.6,era5,7.9,10.9,,open_meteo:era5,2026-09-22T08:49:18Z,open_meteo/1996/01/era5.ndjson.gz#era5:paute:-2.6:-78.6:1996-01-01:1996-12-31
1996-01-28,paute,-2.6,-78.6,era5,20.2,11.2,,open_meteo:era5,2026-09-22T08:49:18Z,open_meteo/1996/01/era5.ndjson.gz#era5:paute:-2.6:-78.6:1996-01-01:1996-12-31
1996-01-29,paute,-2.6,-78.6,era5,14.5,11.4,,open_meteo:era5,2026-09-22T08:49:18Z,open_meteo/1996/01/era5.ndjson.gz#era5:paute:-2.6:-78.6:1996-01-01:1996-12-31
1996-01-30,paute,-2.6,-78.6,era5,41.4,10.9,,open_meteo:era5,2026-09-22T08:49:18Z,open_meteo/1996/01/era5.ndjson.gz#era5:paute:-2.6:-78.6:1996-01-01:1996-12-31
1996-01-31,paute,-2.6,-78.6,era5,12.9,10.3,,open_meteo:era5,2026-09-22T08:49:18Z,open_meteo/1996/01/era5.ndjson.gz#era5:paute:-2.6:-78.6:1996-01-01:1996-12-31
1996-02-01,paute,-2.6,-78.6,era5,3.4,10.1,,open_meteo:era5,2026-09-22T08:49:18Z,open_meteo/1996/01/era5.ndjson.gz#era5:paute:-2.6:-78.6:1996-01-01:1996-12-31
1996-02-02,paute,-2.6,-78.6,era5,2.1,10.7,,open_meteo:era5,2026-09-22T08:49:18Z,open_meteo/1996/01/era5.ndjson.gz#era5:paute:-2.6:-78.6:1996-01-01:1996-12-31
1996-02-03,paute,-2.6,-78.6,era5,1.2,11.8,,open_meteo:era5,2026-09-22T08:49:18Z,open_meteo/1996/01/era5.ndjson.gz#era5:paute:-2.6:-78.6:1996-01-01:1996-12-31
1996-02-04,paute,-2.6,-78.6,era5,7,12.5,,open_meteo:era5,2026-09-22T08:49:18Z,open_meteo/1996/01/era5.ndjson.gz#era5:paute:-2.6:-78.6:1996-01-01:1996-12-31
1996-02-05,paute,-2.6,-78.6,era5,15,11.7,,open_meteo:era5,2026-09-22T08:49:18Z,open_meteo/1996/01/era5.ndjson.gz#era5:paute:-2.6:-78.6:1996-01-01:1996-12-31
1996-02-06,paute,-2.6,-78.6,era5,25.7,11.5,,open_meteo:era5,2026-09-22T08:49:18Z,open_meteo/1996/01/era5.ndjson.gz#era5:paute:-2.6:-78.6:1996-01-01:1996-12-31
1996-02-07,paute,-2.6,-78.6,era5,15.4,10.8,,open_meteo:era5,2026-09-22T08:49:18Z,open_meteo/1996/01/era5.ndjson.gz#era5:paute:-2.6:-78.6:1996-01-01:1996-12-31
1996-02-08,paute,-2.6,-78.6,era5,6.4,11,,open_meteo:era5,2026-09-22T08:49:18Z,open_meteo/1996/01/era5.ndjson.gz#era5:paute:-2.6:-78.6:1996-01-01:1996-12-31
1996-02-09,paute,-2.6,-78.6,era5,4.8,11.1,,open_meteo:era5,2026-09-22T08:49:18Z,open_meteo/1996/01/era5.ndjson.gz#era5:paute:-2.6:-78.6:1996-01-01:1996-12-31
