date,link,export_kwh,import_kwh,export_hours,import_hours,source,fetched_at,raw_ref
2022-01-01,ECUADOR 230,3722.39,4913848.1899999995,1,23,xm:servapibi,2026-09-22T19:16:42Z,xm/2022/01/ExpoEner_Enlace.ndjson.gz#ExpoEner:Enlace:2022-01-01:2022-01-31 xm/2022/01/ImpoEner_Enlace.ndjson.gz#ImpoEner:Enlace:2022-01-01:2022-01-31
2022-01-02,ECUADOR 230,11346.619999999999,4697490.1899999995,5,19,xm:servapibi,2026-09-22T19:16:42Z,xm/2022/01/ExpoEner_Enlace.ndjson.gz#ExpoEner:Enlace:2022-01-01:2022-01-31 xm/2022/01/ImpoEner_Enlace.ndjson.gz#ImpoEner:Enlace:2022-01-01:2022-01-31
2022-01-03,ECUADOR 230,12004.44,525744.9500000001,9,15,xm:servapibi,2026-09-22T19:16:42Z,xm/2022/01/ExpoEner_Enlace.ndjson.gz#ExpoEner:Enlace:2022-01-01:2022-01-31 xm/2022/01/ImpoEner_Enlace.ndjson.gz#ImpoEner:Enlace:2022-01-01:2022-01-31
2022-01-04,ECUADOR 230,37217,50301.83000000001,18,6,xm:servapibi,2026-09-22T19:16:42Z,xm/2022/01/ExpoEner_Enlace.ndjson.gz#ExpoEner:Enlace:2022-01-01:2022-01-31 xm/2022/01/ImpoEner_Enlace.ndjson.gz#ImpoEner:Enlace:2022-01-01:2022-01-31
2022-01-05,ECUADOR 230,38741.820000000014,7559.780000000001,19,5,xm:servapibi,2026-09-22T19:16:42Z,xm/2022/01/ExpoEner_Enlace.ndjson.gz#ExpoEner:Enlace:2022-01-01:2022-01-31 xm/2022/01/ImpoEner_Enlace.ndjson.gz#ImpoEner:Enlace:2022-01-01:2022-01-31
2022-01-06,ECUADOR 230,33958.67,20551.609999999997,13,11,xm:servapibi,2026-09-22T19:16:42Z,xm/2022/01/ExpoEner_Enlace.ndjson.gz#ExpoEner:Enlace:2022-01-01:2022-01-31 xm/2022/01/ImpoEner_Enlace.ndjson.gz#ImpoEner:Enlace:2022-01-01:2022-01-31
2022-01-07,ECUADOR 230,39368.56000000001,14206.689999999999,16,8,xm:servapibi,2026-09-22T19:16:42Z,xm/2022/01/ExpoEner_Enlace.ndjson.gz#ExpoEner:Enlace:2022-01-01:2022-01-31 xm/2022/01/ImpoEner_Enlace.ndjson.gz#ImpoEner:Enlace:2022-01-01:2022-01-31
2022-01-08,ECUADOR 230,20159.91,8409.14,14,10,xm:servapibi,2026-09-22T19:16:42Z,xm/2022/01/ExpoEner_Enlace.ndjson.gz#ExpoEner:Enlace:2022-01-01:2022-01-31 xm/2022/01/ImpoEner_Enlace.ndjson.gz#ImpoEner:Enlace:2022-01-01:2022-01-31
2022-01-09,ECUADOR 230,40539.21,19208.07,14,10,xm:servapibi,2026-09-22T19:16:42Z,xm/2022/01/ExpoEner_Enlace.ndjson.gz#ExpoEner:Enlace:2022-01-01:2022-01-31 xm/2022/01/ImpoEner_Enlace.ndjson.gz#ImpoEner:Enlace:2022-01-01:2022-01-31
2022-01-10,ECUADOR 230,25348.629999999997,5673.08,17,7,xm:servapibi,2026-09-22T19:16:42Z,xm/2022/01/ExpoEner_Enlace.ndjson.gz#ExpoEner:Enlace:2022-01-01:2022-01-31 xm/2022/01/ImpoEner_Enlace.ndjson.gz#ImpoEner:Enlace:2022-01-01:2022-01-31
2022-01-11,ECUADOR 230,499034.43,4507.17,21,3,xm:servapibi,2026-09-22T19:16:42Z,xm/2022/01/ExpoEner_Enlace.ndjson.gz#ExpoEner:Enlace:2022-01-01:2022-01-31 xm/2022/01/ImpoEner_Enlace.ndjson.gz#ImpoEner:Enlace:2022-01-01:2022-01-31
2022-01-12,ECUADOR 230,1435049.2499999995,8312.57,20,4,xm:servapibi,2026-09-22T19:16:42Z,xm/2022/01/ExpoEner_Enlace.ndjson.gz#ExpoEner:Enlace:2022-01-01:2022-01-31 xm/2022/01/ImpoEner_Enlace.ndjson.gz#ImpoEner:Enlace:2022-01-01:2022-01-31
2022-01-13,ECUADOR 230,5427740.470000001,3166.5299999999997,22,2,xm:servapibi,2026-09-22T19:16:42Z,xm/2022/01/ExpoEner_Enlace.ndjson.gz#ExpoEner:Enlace:2022-01-01:2022-01-31 xm/2022/01/ImpoEner_Enlace.ndjson.gz#ImpoEner:Enlace:2022-01-01:2022-01-31
2022-01-14,ECUADOR 230,2843933.8699999987,3577.68,21,3,xm:servapibi,2026-09-22T19:16:42Z,xm/2022/01/ExpoEner_Enlace.ndjson.gz#ExpoEner:Enlace:2022-01-01:2022-01-31 xm/2022/01/ImpoEner_Enlace.ndjson.gz#ImpoEner:Enlace:2022-01-01:2022-01-31
2022-01-15,ECUADOR 230,12377.519999999999,15706.570000000002,13,11,xm:servapibi,2026-09-22T19:16:42Z,xm/2022/01/ExpoEner_Enlace.ndjson.gz#ExpoEner:Enlace:2022-01-01:2022-01-31 xm/2022/01/ImpoEner_Enlace.ndjson.gz#ImpoEner:Enlace:2022-01-01:2022-01-31
2022-01-16,ECUADOR 230,12600.870000000003,9437.690000000002,14,10,xm:servapibi,2026-09-22T19:16:42Z,xm/2022/01/ExpoEner_Enlace.ndjson.gz#ExpoEner:Enlace:2022-01-01:2022-01-31 xm/2022/01/ImpoEner_Enlace.ndjson.gz#ImpoEner:Enlace:2022-01-01:2022-01-31
2022-01-17,ECUADOR 230,12867.42,9815.759999999998,15,9,xm:servapibi,2026-09-22T19:16:42Z,xm/2022/01/ExpoEner_Enlace.ndjson.gz#ExpoEner:Enlace:2022-01-01:2022-01-31 xm/2022/01/ImpoEner_Enlace.ndjson.gz#ImpoEner:Enlace:2022-01-01:2022-01-31
2022-01-18,ECUADOR 138,0.03,0,1,0,xm:servapibi,2026-09-22T19:16:42Z,xm/2022/01/ExpoEner_Enlace.ndjson.gz#ExpoEner:Enlace:2022-01-01:2022-01-31 xm/2022/01/ImpoEner_Enlace.ndjson.gz#ImpoEner:Enlace:2022-01-01:2022-01-31
2022-01-18,ECUADOR 230,16857.05,6003.73,15,9,xm:servapibi,2026-09-22T19:16:42Z,xm/2022/01/ExpoEner_Enlace.ndjson.gz#ExpoEner:Enlace:2022-01-01:2022-01-31 xm/2022/01/ImpoEner_Enlace.ndjson.gz#ImpoEner:Enlace:2022-01-01:2022-01-31
2022-01-19,ECUADOR 230,24808.13,5063.150000000001,17,7,xm:servapibi,2026-09-22T19:16:42Z,xm/2022/01/ExpoEner_Enlace.ndjson.gz#ExpoEner:Enlace:2022-01-01:2022-01-31 xm/2022/01/ImpoEner_Enlace.ndjson.gz#ImpoEner:Enlace:2022-01-01:2022-01-31
2022-01-20,ECUADOR 230,33924.17,13437.29,17,7,xm:servapibi,2026-09-22T19:16:42Z,xm/2022/01/ExpoEner_Enlace.ndjson.gz#ExpoEner:Enlace:2022-01-01:2022-01-31 xm/2022/01/ImpoEner_Enlace.ndjson.gz#ImpoEner:Enlace:2022-01-01:2022-01-31
2022-01-21,ECUADOR 230,826716.4900000001,13048.14,17,7,xm:servapibi,2026-09-22T19:16:42Z,xm/2022/01/ExpoEner_Enlace.ndjson.gz#ExpoEner:Enlace:2022-01-01:2022-01-31 xm/2022/01/ImpoEner_Enlace.ndjson.gz#ImpoEner:Enlace:2022-01-01:2022-01-31
2022-01-22,ECUADOR 230,30399.18,5848.96,16,8,xm:servapibi,2026-09-22T19:16:42Z,xm/2022/01/ExpoEner_Enlace.ndjson.gz#ExpoEner:Enlace:2022-01-01:2022-01-31 xm/2022/01/ImpoEner_Enlace.ndjson.gz#ImpoEner:Enlace:2022-01-01:2022-01-31
2022-01-23,ECUADOR 230,97196.58,12895.72,17,7,xm:servapibi,2026-09-22T19:16:42Z,xm/2022/01/ExpoEner_Enlace.ndjson.gz#ExpoEner:Enlace:2022-01-01:2022-01-31 xm/2022/01/ImpoEner_Enlace.ndjson.gz#ImpoEner:Enlace:2022-01-01:2022-01-31
2022-01-24,ECUADOR 230,93093.02,9815.87,15,9,xm:servapibi,2026-09-22T19:16:42Z,xm/2022/01/ExpoEner_Enlace.ndjson.gz#ExpoEner:Enlace:2022-01-01:2022-01-31 xm/2022/01/ImpoEner_Enlace.ndjson.gz#ImpoEner:Enlace:2022-01-01:2022-01-31
2022-01-25,ECUADOR 230,36363.89,6263.2300000000005,20,4,xm:servapibi,2026-09-22T19:16:42Z,xm/2022/01/ExpoEner_Enlace.ndjson.gz#ExpoEner:Enlace:2022-01-01:2022-01-31 xm/2022/01/ImpoEner_Enlace.ndjson.gz#ImpoEner:Enlace:2022-01-01:2022-01-31
2022-01-26,ECUADOR 230,28594.649999999998,11179.77,12,12,xm:servapibi,2026-09-22T19:16:42Z,xm/2022/01/ExpoEner_Enlace.ndjson.gz#ExpoEner:Enlace:2022-01-01:2022-01-31 xm/2022/01/ImpoEner_Enlace.ndjson.gz#ImpoEner:Enlace:2022-01-01:2022-01-31
2022-01-27,ECUADOR 230,34516.130000000005,10798.67,14,10,xm:servapibi,2026-09-22T19:16:42Z,xm/2022/01/ExpoEner_Enlace.ndjson.gz#ExpoEner:Enlace:2022-01-01:2022-01-31 xm/2022/01/ImpoEner_Enlace.ndjson.gz#ImpoEner:Enlace:2022-01-01:2022-01-31
2022-01-28,ECUADOR 230,28697.399999999998,2284.89,19,5,xm:servapibi,2026-09-22T19:16:42Z,xm/2022/01/ExpoEner_Enlace.ndjson.gz#ExpoEner:Enlace:2022-01-01:2022-01-31 xm/2022/01/ImpoEner_Enlace.ndjson.gz#ImpoEner:Enlace:2022-01-01:2022-01-31
2022-01-29,ECUADOR 230,26374.4,4481.89,19,5,xm:servapibi,2026-09-22T19:16:42Z,xm/2022/01/ExpoEner_Enlace.ndjson.gz#ExpoEner:Enlace:2022-01-01:2022-01-31 xm/2022/01/ImpoEner_Enlace.ndjson.gz#ImpoEner:Enlace:2022-01-01:2022-01-31
2022-01-30,ECUADOR 230,19907.64,6169.66,18,6,xm:servapibi,2026-09-22T19:16:42Z,xm/2022/01/ExpoEner_Enlace.ndjson.gz#ExpoEner:Enlace:2022-01-01:2022-01-31 xm/2022/01/ImpoEner_Enlace.ndjson.gz#ImpoEner:Enlace:2022-01-01:2022-01-31
2022-01-31,ECUADOR 230,24325.999999999996,5150.110000000001,16,8,xm:servapibi,2026-09-22T19:16:42Z,xm/2022/01/ExpoEner_Enlace.ndjson.gz#ExpoEner:Enlace:2022-01-01:2022-01-31 xm/2022/01/ImpoEner_Enlace.ndjson.gz#ImpoEner:Enlace:2022-01-01:2022-01-31
2022-02-01,ECUADOR 230,34291.57,16917.21,16,8,xm:servapibi,2026-09-22T19:16:57Z,xm/2022/02/ExpoEner_Enlace.ndjson.gz#ExpoEner:Enlace:2022-02-01:2022-02-28 xm/2022/02/ImpoEner_Enlace.ndjson.gz#ImpoEner:Enlace:2022-02-01:2022-02-28
