date,metric,value,unit,source,fetched_at,raw_ref
2016-05-01,AporEner,185507800,kWh,xm:servapibi,2026-09-22T18:59:20Z,xm/2016/05/AporEner_Sistema.ndjson.gz#AporEner:Sistema:2016-05-01:2016-05-31
2016-05-01,AporEnerMediHist,225110000,kWh,xm:servapibi,2026-09-22T18:59:21Z,xm/2016/05/AporEnerMediHist_Sistema.ndjson.gz#AporEnerMediHist:Sistema:2016-05-01:2016-05-31
2016-05-01,CapaUtilDiarEner,17285928633,kWh,xm:servapibi,2026-09-22T18:59:19Z,xm/2016/05/CapaUtilDiarEner_Sistema.ndjson.gz#CapaUtilDiarEner:Sistema:2016-05-01:2016-05-31
2016-05-01,DemaSIN,152514098.48,kWh,xm:servapibi,2026-09-22T18:59:24Z,xm/2016/05/DemaSIN_Sistema.ndjson.gz#DemaSIN:Sistema:2016-05-01:2016-05-31
2016-05-01,PorcApor,0.82408,fraction,xm:servapibi,2026-09-22T18:59:22Z,xm/2016/05/PorcApor_Sistema.ndjson.gz#PorcApor:Sistema:2016-05-01:2016-05-31
2016-05-01,PorcVoluUtilDiar,0.40932,fraction,xm:servapibi,2026-09-22T18:59:16Z,xm/2016/05/PorcVoluUtilDiar_Sistema.ndjson.gz#PorcVoluUtilDiar:Sistema:2016-05-01:2016-05-31
2016-05-01,PrecBolsNaci,151.77359333333337,COP/kWh,xm:servapibi,2026-09-22T18:59:27Z,xm/2016/05/PrecBolsNaci_Sistema.ndjson.gz#PrecBolsNaci:Sistema:2016-05-01:2016-05-31
2016-05-01,VoluUtilDiarEner,7075425800,kWh,xm:servapibi,2026-09-22T18:59:17Z,xm/2016/05/VoluUtilDiarEner_Sistema.ndjson.gz#VoluUtilDiarEner:Sistema:2016-05-01:2016-05-31
2016-05-02,AporEner,165512200,kWh,xm:servapibi,2026-09-22T18:59:20Z,xm/2016/05/AporEner_Sistema.ndjson.gz#AporEner:Sistema:2016-05-01:2016-05-31
2016-05-02,AporEnerMediHist,225110000,kWh,xm:servapibi,2026-09-22T18:59:21Z,xm/2016/05/AporEnerMediHist_Sistema.ndjson.gz#AporEnerMediHist:Sistema:2016-05-01:2016-05-31
2016-05-02,CapaUtilDiarEner,17285928633,kWh,xm:servapibi,2026-09-22T18:59:19Z,xm/2016/05/CapaUtilDiarEner_Sistema.ndjson.gz#CapaUtilDiarEner:Sistema:2016-05-01:2016-05-31
2016-05-02,DemaSIN,176680457.47,kWh,xm:servapibi,2026-09-22T18:59:24Z,xm/2016/05/DemaSIN_Sistema.ndjson.gz#DemaSIN:Sistema:2016-05-01:2016-05-31
2016-05-02,PorcApor,0.73525,fraction,xm:servapibi,2026-09-22T18:59:22Z,xm/2016/05/PorcApor_Sistema.ndjson.gz#PorcApor:Sistema:2016-05-01:2016-05-31
2016-05-02,PorcVoluUtilDiar,0.41052,fraction,xm:servapibi,2026-09-22T18:59:16Z,xm/2016/05/PorcVoluUtilDiar_Sistema.ndjson.gz#PorcVoluUtilDiar:Sistema:2016-05-01:2016-05-31
2016-05-02,PrecBolsNaci,147.13610666666668,COP/kWh,xm:servapibi,2026-09-22T18:59:27Z,xm/2016/05/PrecBolsNaci_Sistema.ndjson.gz#PrecBolsNaci:Sistema:2016-05-01:2016-05-31
2016-05-02,VoluUtilDiarEner,7096134400,kWh,xm:servapibi,2026-09-22T18:59:17Z,xm/2016/05/VoluUtilDiarEner_Sistema.ndjson.gz#VoluUtilDiarEner:Sistema:2016-05-01:2016-05-31
2016-05-03,AporEner,143929800,kWh,xm:servapibi,2026-09-22T18:59:20Z,xm/2016/05/AporEner_Sistema.ndjson.gz#AporEner:Sistema:2016-05-01:2016-05-31
2016-05-03,AporEnerMediHist,225110000,kWh,xm:servapibi,2026-09-22T18:59:21Z,xm/2016/05/AporEnerMediHist_Sistema.ndjson.gz#AporEnerMediHist:Sistema:2016-05-01:2016-05-31
2016-05-03,CapaUtilDiarEner,17285928633,kWh,xm:servapibi,2026-09-22T18:59:19Z,xm/2016/05/CapaUtilDiarEner_Sistema.ndjson.gz#CapaUtilDiarEner:Sistema:2016-05-01:2016-05-31
2016-05-03,DemaSIN,180137761.39,kWh,xm:servapibi,2026-09-22T18:59:24Z,xm/2016/05/DemaSIN_Sistema.ndjson.gz#DemaSIN:Sistema:2016-05-01:2016-05-31
2016-05-03,PorcApor,0.63938,fraction,xm:servapibi,2026-09-22T18:59:22Z,xm/2016/05/PorcApor_Sistema.ndjson.gz#PorcApor:Sistema:2016-05-01:2016-05-31
