site,river_id,month_day,horizon_days,first_year,last_year,median_m3s
agoyan,621014469,01-01,7,1940,2023,287.699
manduriacu,670078161,01-01,7,1940,2023,524.276
minas_san_francisco,670027091,01-01,7,1940,2023,155.8
agoyan,621014469,01-02,7,1940,2023,285.586
manduriacu,670078161,01-02,7,1940,2023,526.569
minas_san_francisco,670027091,01-02,7,1940,2023,156.812
agoyan,621014469,01-03,7,1940,2023,293.441
manduriacu,670078161,01-03,7,1940,2023,519.375
minas_san_francisco,670027091,01-03,7,1940,2023,157.789
agoyan,621014469,01-04,7,1940,2023,285.023
manduriacu,670078161,01-04,7,1940,2023,532.265
minas_san_francisco,670027091,01-04,7,1940,2023,162.839
agoyan,621014469,01-05,7,1940,2023,292.535
manduriacu,670078161,01-05,7,1940,2023,538.047
minas_san_francisco,670027091,01-05,7,1940,2023,170.19
agoyan,621014469,01-06,7,1940,2023,285.379
manduriacu,670078161,01-06,7,1940,2023,563.277
minas_san_francisco,670027091,01-06,7,1940,2023,161.041
agoyan,621014469,01-07,7,1940,2023,290.373
manduriacu,670078161,01-07,7,1940,2023,560.307
minas_san_francisco,670027091,01-07,7,1940,2023,158.191
agoyan,621014469,01-08,7,1940,2023,287.383
manduriacu,670078161,01-08,7,1940,2023,533.238
minas_san_francisco,670027091,01-08,7,1940,2023,154.106
agoyan,621014469,01-09,7,1940,2023,296.679
manduriacu,670078161,01-09,7,1940,2023,538.813
minas_san_francisco,670027091,01-09,7,1940,2023,154.282
agoyan,621014469,01-10,7,1940,2023,309.251
manduriacu,670078161,01-10,7,1940,2023,517.766
minas_san_francisco,670027091,01-10,7,1940,2023,160.598
agoyan,621014469,01-11,7,1940,2023,312.259
manduriacu,670078161,01-11,7,1940,2023,524.799
minas_san_francisco,670027091,01-11,7,1940,2023,162.741
agoyan,621014469,01-12,7,1940,2023,318.733
manduriacu,670078161,01-12,7,1940,2023,533.711
minas_san_francisco,670027091,01-12,7,1940,2023,164.639
agoyan,621014469,01-13,7,1940,2023,321.572
manduriacu,670078161,01-13,7,1940,2023,538.351
minas_san_francisco,670027091,01-13,7,1940,2023,171.723
agoyan,621014469,01-14,7,1940,2023,322.783
manduriacu,670078161,01-14,7,1940,2023,538.303
minas_san_francisco,670027091,01-14,7,1940,2023,175.562
agoyan,621014469,01-15,7,1940,2023,323.02
manduriacu,670078161,01-15,7,1940,2023,535.982
minas_san_francisco,670027091,01-15,7,1940,2023,178.729
agoyan,621014469,01-16,7,1940,2023,318.767
manduriacu,670078161,01-16,7,1940,2023,540.683
minas_san_francisco,670027091,01-16,7,1940,2023,176.352
agoyan,621014469,01-17,7,1940,2023,310.561
manduriacu,670078161,01-17,7,1940,2023,529.851
minas_san_francisco,670027091,01-17,7,1940,2023,171.874
agoyan,621014469,01-18,7,1940,2023,305.204
manduriacu,670078161,01-18,7,1940,2023,534.025
minas_san_francisco,670027091,01-18,7,1940,2023,171.575
agoyan,621014469,01-19,7,1940,2023,312.732
manduriacu,670078161,01-19,7,1940,2023,536.687
minas_san_francisco,670027091,01-19,7,1940,2023,182.162
agoyan,621014469,01-20,7,1940,2023,319.267
manduriacu,670078161,01-20,7,1940,2023,535.515
minas_san_francisco,670027091,01-20,7,1940,2023,196.987
agoyan,621014469,01-21,7,1940,2023,320.969
manduriacu,670078161,01-21,7,1940,2023,539.117
minas_san_francisco,670027091,01-21,7,1940,2023,191.985
agoyan,621014469,01-22,7,1940,2023,340.712
manduriacu,670078161,01-22,7,1940,2023,551.333
minas_san_francisco,670027091,01-22,7,1940,2023,189.204
agoyan,621014469,01-23,7,1940,2023,342.491
manduriacu,670078161,01-23,7,1940,2023,566.866
minas_san_francisco,670027091,01-23,7,1940,2023,189.609
agoyan,621014469,01-24,7,1940,2023,344.111
manduriacu,670078161,01-24,7,1940,2023,569.199
minas_san_francisco,670027091,01-24,7,1940,2023,190.628
agoyan,621014469,01-25,7,1940,2023,331.05
manduriacu,670078161,01-25,7,1940,2023,570.002
minas_san_francisco,670027091,01-25,7,1940,2023,198.831
agoyan,621014469,01-26,7,1940,2023,325.301
manduriacu,670078161,01-26,7,1940,2023,571.121
minas_san_francisco,670027091,01-26,7,1940,2023,196.92
agoyan,621014469,01-27,7,1940,2023,327.527
manduriacu,670078161,01-27,7,1940,2023,581.032
minas_san_francisco,670027091,01-27,7,1940,2023,194.081
agoyan,621014469,01-28,7,1940,2023,330.725
manduriacu,670078161,01-28,7,1940,2023,569.623
minas_san_francisco,670027091,01-28,7,1940,2023,214.303
agoyan,621014469,01-29,7,1940,2023,351.144
manduriacu,670078161,01-29,7,1940,2023,559.261
minas_san_francisco,670027091,01-29,7,1940,2023,210.428
agoyan,621014469,01-30,7,1940,2023,357.073
manduriacu,670078161,01-30,7,1940,2023,570.79
minas_san_francisco,670027091,01-30,7,1940,2023,201.423
agoyan,621014469,01-31,7,1940,2023,352.963
manduriacu,670078161,01-31,7,1940,2023,569.181
minas_san_francisco,670027091,01-31,7,1940,2023,213.809
agoyan,621014469,02-01,7,1940,2023,364.047
manduriacu,670078161,02-01,7,1940,2023,553.081
minas_san_francisco,670027091,02-01,7,1940,2023,217.003
agoyan,621014469,02-02,7,1940,2023,367.953
manduriacu,670078161,02-02,7,1940,2023,576.904
minas_san_francisco,670027091,02-02,7,1940,2023,222.4
agoyan,621014469,02-03,7,1940,2023,381.46
manduriacu,670078161,02-03,7,1940,2023,575.758
minas_san_francisco,670027091,02-03,7,1940,2023,214.642
agoyan,621014469,02-04,7,1940,2023,389.814
manduriacu,670078161,02-04,7,1940,2023,569.322
minas_san_francisco,670027091,02-04,7,1940,2023,222.212
agoyan,621014469,02-05,7,1940,2023,398.159
manduriacu,670078161,02-05,7,1940,2023,574.568
minas_san_francisco,670027091,02-05,7,1940,2023,226.896
agoyan,621014469,02-06,7,1940,2023,388.736
manduriacu,670078161,02-06,7,1940,2023,572.516
minas_san_francisco,670027091,02-06,7,1940,2023,226.884
agoyan,621014469,02-07,7,1940,2023,378.424
manduriacu,670078161,02-07,7,1940,2023,568.281
minas_san_francisco,670027091,02-07,7,1940,2023,226.264
agoyan,621014469,02-08,7,1940,2023,378.967
manduriacu,670078161,02-08,7,1940,2023,555.377
minas_san_francisco,670027091,02-08,7,1940,2023,213.7
agoyan,621014469,02-09,7,1940,2023,377.025
manduriacu,670078161,02-09,7,1940,2023,576.305
minas_san_francisco,670027091,02-09,7,1940,2023,217.137
agoyan,621014469,02-10,7,1940,2023,362.639
manduriacu,670078161,02-10,7,1940,2023,569.074
minas_san_francisco,670027091,02-10,7,1940,2023,211.41
agoyan,621014469,02-11,7,1940,2023,374.911
manduriacu,670078161,02-11,7,1940,2023,559.346
minas_san_francisco,670027091,02-11,7,1940,2023,215.965
agoyan,621014469,02-12,7,1940,2023,366.514
manduriacu,670078161,02-12,7,1940,2023,538.077
minas_san_francisco,670027091,02-12,7,1940,2023,212.368
agoyan,621014469,02-13,7,1940,2023,358.101
manduriacu,670078161,02-13,7,1940,2023,535.853
minas_san_francisco,670027091,02-13,7,1940,2023,204.156
agoyan,621014469,02-14,7,1940,2023,371.546
manduriacu,670078161,02-14,7,1940,2023,541.522
minas_san_francisco,670027091,02-14,7,1940,2023,213.403
agoyan,621014469,02-15,7,1940,2023,369.146
manduriacu,670078161,02-15,7,1940,2023,553.861
minas_san_francisco,670027091,02-15,7,1940,2023,217.518
agoyan,621014469,02-16,7,1940,2023,381.256
manduriacu,670078161,02-16,7,1940,2023,546.682
minas_san_francisco,670027091,02-16,7,1940,2023,227.229
agoyan,621014469,02-17,7,1940,2023,381.013
manduriacu,670078161,02-17,7,1940,2023,539.468
minas_san_francisco,670027091,02-17,7,1940,2023,239.996
agoyan,621014469,02-18,7,1940,2023,391.39
manduriacu,670078161,02-18,7,1940,2023,550.455
minas_san_francisco,670027091,02-18,7,1940,2023,241.113
agoyan,621014469,02-19,7,1940,2023,394.055
manduriacu,670078161,02-19,7,1940,2023,565.758
minas_san_francisco,670027091,02-19,7,1940,2023,245.128
agoyan,621014469,02-20,7,1940,2023,410.169
manduriacu,670078161,02-20,7,1940,2023,579.682
minas_san_francisco,670027091,02-20,7,1940,2023,236.011
agoyan,621014469,02-21,7,1940,2023,432.833
manduriacu,670078161,02-21,7,1940,2023,565.641
minas_san_francisco,670027091,02-21,7,1940,2023,226.362
agoyan,621014469,02-22,7,1940,2023,442.733
manduriacu,670078161,02-22,7,1940,2023,578.303
