plant,variable,mrid,unit,band_min,band_max,ords_module_energy,evidence,discovered_on
Mazar,cota,30031,masl,2098,2153,sardommaz,"CELEC-wide bundle main-es2015.bb8d1c1f9fb35745e7e5.js: component 'Energía Mazar' sets this.mridCota=30031; chart title 'Cota Mazar min:2098 max:2153'",2026-09-21
Mazar,caudal,30538,m3/s,,,sardommaz,"same component: this.mridCaud=30538 (semantics inflow vs turbined still to verify)",2026-09-21
Mazar,unidades,30503,count,,,sardommaz,"same component: this.mridUnid=30503 (units in operation)",2026-09-21
Molino (Amaluza),cota,24019,masl,1975,1991,sardommol,"component 'Energía Molino': this.mridCota=24019; chart title 'Cota Amaluza min:1975 max:1991'",2026-09-21
Molino (Amaluza),caudal,24811,m3/s,,,sardommol,"same component: this.mridCaud=24811",2026-09-21
Molino (Amaluza),unidades,44822,count,,,sardommol,"same component: this.mridUnid=44822",2026-09-21
Paute basin,caudal_cuenca,24812,m3/s,,,sardomcsr,"component 'Energía CELEC SUR': this.mridCadc=24812; chart 'Caudal de la cuenca del Paute'",2026-09-21
Sopladora,cota,90919,masl,1312,1318,sardomsop,"component 'Energía Sopladora': this.mridCota=90919; chart title 'Cota Sopladora min:1312 max:1318'",2026-09-21
Sopladora,caudal,90537,m3/s,,,sardomsop,"same component: this.mridCaud=90537",2026-09-21
Sopladora,unidades,90503,count,,,sardomsop,"same component: this.mridUnid=90503",2026-09-21
Minas San Francisco,cota,650919,masl,783.33,792.86,sardommsf,"component 'Energía Minas San Francisco': this.mridCota=650919; chart title 'Cota Minas San Francisco min:783.33 max:792.86'",2026-09-21
Minas San Francisco,caudal,650538,m3/s,,,sardommsf,"same component: this.mridCaud=650538",2026-09-21
Minas San Francisco,unidades,650503,count,,,sardommsf,"same component: this.mridUnid=650503",2026-09-21
Agoyán,cota,140031,masl,,,sardomago,"component 'Energía Agoyan': this.mridCota=140031 (no band in chart title)",2026-09-21
Agoyán,caudal,140537,m3/s,,,sardomago,"same component: this.mridCaud=140537",2026-09-21
Agoyán,unidades,140503,count,,,sardomago,"same component: this.mridUnid=140503",2026-09-21
Manduriacu,cota,110031,masl,,,sardomman,"component 'Energía Manduriacu': this.mridCota=110031",2026-09-21
Manduriacu,caudal,110537,m3/s,,,sardomman,"same component: this.mridCaud=110537",2026-09-21
Manduriacu,unidades,110503,count,,,sardomman,"same component: this.mridUnid=110503",2026-09-21
Coca Codo Sinclair,cota,100540,masl,,,sardomccs,"component 'Energía Coca Codo Sinclair': this.mridCota=100540 (note: cota/caudal suffixes differ from the other plants)",2026-09-21
Coca Codo Sinclair,caudal,100037,m3/s,,,sardomccs,"same component: this.mridCaud=100037",2026-09-21
Coca Codo Sinclair,unidades,100503,count,,,sardomccs,"same component: this.mridUnid=100503",2026-09-21
