site_id,plant,operator,capacity_mw,capacity_status,verified_on,regulation,storage_hm3,river,slope,basin,in_celec_dashboard,ords_module,observed_in,source
mazar,Mazar,CELEC Sur,170,unverified,,"Mazar reservoir, the cascade's only multi-week storage",410,Paute,amazon,paute,yes,sardommaz,ords:repDiaHid12m 2014-09-20..; ords:repDiaEner12m 2015-11-01..,"PLAN.md section 3 (public CELEC pages and press, recorded 2026-09-21)"
molino,Molino (Paute),CELEC Sur,1100,unverified,,"Amaluza, daily, heavily silted",,Paute,amazon,paute,yes,sardommol,ords:repDiaEner12m 2015-11-01..,"PLAN.md section 3 (public CELEC pages and press, recorded 2026-09-21)"
amaluza,Amaluza reservoir (feeds Molino),CELEC Sur,,unknown,,daily,,Paute,amazon,paute,yes,,ords:repDiaHid12m 2014-09-20..,"PLAN.md section 3 (public CELEC pages and press, recorded 2026-09-21)"
sopladora,Sopladora,CELEC Sur,487,unverified,,small compensation pond,,Paute,amazon,paute,yes,sardomsop,ords:repDiaEner12m 2016-04-27..,"PLAN.md section 3 (public CELEC pages and press, recorded 2026-09-21)"
minas_san_francisco,Minas San Francisco,CELEC Enerjubones,275,unverified,,small reservoir,,Jubones,pacific,jubones,yes,sardommsf,ords:repDiaHid12m 2018-10-01..; ords:repDiaEner12m 2018-10-11..,"PLAN.md section 3 (public CELEC pages and press, recorded 2026-09-21)"
delsitanisagua,Delsitanisagua,CELEC Gensur,180,unverified,,small,,Zamora,amazon,zamora,yes,,ords:repDiaHid12m 2018-08-31..; ords:repDiaEner12m 2024-12-31..,"PLAN.md section 3 (public CELEC pages and press, recorded 2026-09-21)"
alazan,Alazán,CELEC Sur,,unknown,,,,Paute,amazon,paute,yes,,ords:repDiaEner12m 2025-01-01..,"PLAN.md section 3 (public CELEC pages and press, recorded 2026-09-21)"
agoyan,Agoyán,CELEC Hidroagoyán,156,unverified,,small daily reservoir,,Pastaza,amazon,pastaza,yes,sardomago,ords:agoEnerDia 2017-01-01..,"PLAN.md section 3 (public CELEC pages and press, recorded 2026-09-21)"
manduriacu,Manduriacu,CELEC Coca Codo Sinclair,65,unverified,,small,,Guayllabamba,pacific,guayllabamba,yes,sardomman,ords:manEnerDia 2017-07-31..,"PLAN.md section 3 (public CELEC pages and press, recorded 2026-09-21)"
coca_codo_sinclair,Coca Codo Sinclair,CELEC Coca Codo Sinclair,1500,unverified,,"0.8 hm3 compensation, effectively run-of-river",0.8,Coca,amazon,coca,yes,sardomccs,ords:ccsEnerDia 2016-06-24..,"PLAN.md section 3 (public CELEC pages and press, recorded 2026-09-21)"
,Pucará (Pisayambo),CELEC Hidroagoyán,73,unverified,,Pisayambo,100,Pastaza,amazon,pastaza,no,,,"PLAN.md section 3 (public CELEC pages and press, recorded 2026-09-21)"
,San Francisco,CELEC Hidroagoyán,230,unverified,,fed by the Agoyán tailrace,,Pastaza,amazon,pastaza,unverified,,,"PLAN.md section 3 (public CELEC pages and press, recorded 2026-09-21)"
,Marcel Laniado (Daule-Peripa),CELEC Hidronación,213,unverified,,multi-year storage,5400,Daule,pacific,daule,unverified,,,"PLAN.md section 3 (public CELEC pages and press, recorded 2026-09-21)"
,"Toachi-Pilatón, Baba and private plants",various,300,unverified,,mixed,,various,pacific,,no,,,"PLAN.md section 3 (public CELEC pages and press, recorded 2026-09-21)"
